Location,Date,Set Type,Song Order,Song
"Boston, MA",11/19/2017,Second Set,16,Casey Jones
"Boston, MA",11/19/2017,Encore,17,Brokedown Palace
"Boston, MA",11/19/2017,Encore,18,Playing Reprise
"Washington, D. C.",11/21/2017,First Set,1,Feel Like a Stranger
"Washington, D. C.",11/21/2017,First Set,2,Bertha
"Washington, D. C.",11/21/2017,First Set,3,Black Throated Wind
"Washington, D. C.",11/21/2017,First Set,4,Tennessee Jed
"Washington, D. C.",11/21/2017,First Set,5,Ship of Fools
"Washington, D. C.",11/21/2017,First Set,6,Cassidy
"Washington, D. C.",11/21/2017,First Set,7,Deal
"Washington, D. C.",11/21/2017,Second Set,8,Help on the Way
"Washington, D. C.",11/21/2017,Second Set,9,Slipknot
"Washington, D. C.",11/21/2017,Second Set,10,Franklin's Tower
"Washington, D. C.",11/21/2017,Second Set,11,Looks Like Rain
"Washington, D. C.",11/21/2017,Second Set,12,Terrapin Station
"Washington, D. C.",11/21/2017,Second Set,13,Drums
"Washington, D. C.",11/21/2017,Second Set,14,Space
"Washington, D. C.",11/21/2017,Second Set,15,Days Between
"Washington, D. C.",11/21/2017,Second Set,16,Throwin Stones
"Washington, D. C.",11/21/2017,Encore,17,Touch of Grey
"Hartford, CT",11/22/2017,First Set,1,Iko Iko
"Hartford, CT",11/22/2017,First Set,2,Shakedown Street
"Hartford, CT",11/22/2017,First Set,3,They Love Each Other
"Hartford, CT",11/22/2017,First Set,4,Loose Lucy
"Hartford, CT",11/22/2017,First Set,5,Friend of the Devil
"Hartford, CT",11/22/2017,First Set,6,Bird Song
"Hartford, CT",11/22/2017,Second Set,7,Estimated Prophet
"Hartford, CT",11/22/2017,Second Set,8,Eyes of the World
"Hartford, CT",11/22/2017,Second Set,9,China Doll
"Hartford, CT",11/22/2017,Second Set,10,Other One
"Hartford, CT",11/22/2017,Second Set,11,Drums
"Hartford, CT",11/22/2017,Second Set,12,Space
"Hartford, CT",11/22/2017,Second Set,13,Spanish Jam
"Hartford, CT",11/22/2017,Second Set,14,Black Peter
"Hartford, CT",11/22/2017,Second Set,15,Uncle John's Band
"Hartford, CT",11/22/2017,Second Set,16,US Blues
"Hartford, CT",11/22/2017,Encore,17,Knocking on Heaven's Door
"Detroit, MI",11/24/2017,First Set,1,Dancing in the Streets
"Detroit, MI",11/24/2017,First Set,2,Jack Straw
"Detroit, MI",11/24/2017,First Set,3,Brown Eyed Women
"Detroit, MI",11/24/2017,First Set,4,Ramble On Rose
"Detroit, MI",11/24/2017,First Set,5,Deep Elem Blues
"Detroit, MI",11/24/2017,First Set,6,Beat it on down the line
"Detroit, MI",11/24/2017,First Set,7,Sugaree
"Detroit, MI",11/24/2017,Second Set,8,New Speedway Boogie
"Detroit, MI",11/24/2017,Second Set,9,Dark Star
"Detroit, MI",11/24/2017,Second Set,10,Scarlet Begonias
"Detroit, MI",11/24/2017,Second Set,11,Fire on the Mountain
"Detroit, MI",11/24/2017,Second Set,12,Drums
"Detroit, MI",11/24/2017,Second Set,13,Space
