Location,Date,Set Type,Song Order,Song
"New York, NY",11/1/2019,Second Set,19,Morning Dew
"New York, NY",11/1/2019,Encore,20,The Weight
"New York, NY",11/1/2019,Encore,21,Brokedown Palace
"Uniondale, NY",11/5/2019,First Set,1,Jack Straw
"Uniondale, NY",11/5/2019,First Set,2,Deal
"Uniondale, NY",11/5/2019,First Set,3,Peggy-O
"Uniondale, NY",11/5/2019,First Set,4,Brown Eyed Women
"Uniondale, NY",11/5/2019,First Set,5,Looks Like Rain
"Uniondale, NY",11/5/2019,First Set,6,Easy Wind
"Uniondale, NY",11/5/2019,First Set,7,Cumberland Blues
"Uniondale, NY",11/5/2019,First Set,8,Casey Jones
"Uniondale, NY",11/5/2019,Second Set,9,Here Comes Sunshine
"Uniondale, NY",11/5/2019,Second Set,10,St. Stephen
"Uniondale, NY",11/5/2019,Second Set,11,William Tell Bridge
"Uniondale, NY",11/5/2019,Second Set,12,The Eleven
"Uniondale, NY",11/5/2019,Second Set,13,Comes a Time
"Uniondale, NY",11/5/2019,Second Set,14,GDTRFB
"Uniondale, NY",11/5/2019,Second Set,15,Drums
"Uniondale, NY",11/5/2019,Second Set,16,Space
"Uniondale, NY",11/5/2019,Second Set,17,Other One
"Uniondale, NY",11/5/2019,Second Set,18,Stella Blue
"Uniondale, NY",11/5/2019,Second Set,19,Not Fade Away
"Uniondale, NY",11/5/2019,Encore,20,US Blues
"Uniondale, NY",11/6/2019,First Set,1,Feel Like a Stranger
"Uniondale, NY",11/6/2019,First Set,2,New Speedway Boogie
"Uniondale, NY",11/6/2019,First Set,3,Dire Wolf
"Uniondale, NY",11/6/2019,First Set,4,When I Paint My Masterpiece
"Uniondale, NY",11/6/2019,First Set,5,Sugaree
"Uniondale, NY",11/6/2019,First Set,6,Cassidy
"Uniondale, NY",11/6/2019,First Set,7,Music Never Stopped
"Uniondale, NY",11/6/2019,Second Set,8,Help on the Way
"Uniondale, NY",11/6/2019,Second Set,9,Slipknot
"Uniondale, NY",11/6/2019,Second Set,10,Franklin's Tower
"Uniondale, NY",11/6/2019,Second Set,11,Dark Star
"Uniondale, NY",11/6/2019,Second Set,12,Drums
"Uniondale, NY",11/6/2019,Second Set,13,Space
"Uniondale, NY",11/6/2019,Second Set,14,Other One V2
"Uniondale, NY",11/6/2019,Second Set,15,Wharf Rat
"Uniondale, NY",11/6/2019,Second Set,16,Lovelight
"Uniondale, NY",11/6/2019,Encore,17,Knocking on Heaven's Door
"Hampton, VA",11/8/2019,First Set,1,Bertha
"Hampton, VA",11/8/2019,First Set,2,Good Lovin
"Hampton, VA",11/8/2019,First Set,3,Shakedown Street
"Hampton, VA",11/8/2019,First Set,4,They Love Each Other
"Hampton, VA",11/8/2019,First Set,5,Black Throated Wind
"Hampton, VA",11/8/2019,First Set,6,Mr. Charlie
"Hampton, VA",11/8/2019,First Set,7,Mississippi Half Step
"Hampton, VA",11/8/2019,First Set,8,Throwin Stones
"Hampton, VA",11/8/2019,Second Set,9,Althea
"Hampton, VA",11/8/2019,Second Set,10,Estimated Prophet
"Hampton, VA",11/8/2019,Second Set,11,Eyes of the World
"Hampton, VA",11/8/2019,Second Set,12,Terrapin Station
"Hampton, VA",11/8/2019,Second Set,13,Drums
"Hampton, VA",11/8/2019,Second Set,14,Space
"Hampton, VA",11/8/2019,Second Set,15,Days Between
"Hampton, VA",11/8/2019,Second Set,16,China Cat Sunflower
"Hampton, VA",11/8/2019,Second Set,17,I Know You Rider
"Hampton, VA",11/8/2019,Encore,18,Touch of Grey
"Hampton, VA",11/9/2019,First Set,1,Truckin
"Hampton, VA",11/9/2019,First Set,2,Big Railroad Blues
"Hampton, VA",11/9/2019,First Set,3,He's Gone
"Hampton, VA",11/9/2019,First Set,4,Tennessee Jed
"Hampton, VA",11/9/2019,First Set,5,Friend of the Devil
"Hampton, VA",11/9/2019,First Set,6,Bird Song
"Hampton, VA",11/9/2019,First Set,7,One More Saturday Night
"Hampton, VA",11/9/2019,Second Set,8,Playin in the Band
"Hampton, VA",11/9/2019,Second Set,9,Franklin's Tower
"Hampton, VA",11/9/2019,Second Set,10,Scarlet Begonias
"Hampton, VA",11/9/2019,Second Set,11,Fire on the Mountain
"Hampton, VA",11/9/2019,Second Set,12,Drums
"Hampton, VA",11/9/2019,Second Set,13,Space
"Hampton, VA",11/9/2019,Second Set,14,Milestones
"Hampton, VA",11/9/2019,Second Set,15,Uncle John's Band
"Hampton, VA",11/9/2019,Second Set,16,Playin in the Band
"Hampton, VA",11/9/2019,Second Set,17,Black Peter
"Hampton, VA",11/9/2019,Second Set,18,Sugar Magnolia
"Hampton, VA",11/9/2019,Second Set,19,Sunshine Daydream
"Hampton, VA",11/9/2019,Encore,20,Ripple
"Inglewood, CA",12/27/2019,First Set,1,Truckin
"Inglewood, CA",12/27/2019,First Set,2,Alabama Getaway
"Inglewood, CA",12/27/2019,First Set,3,Ramble On Rose
"Inglewood, CA",12/27/2019,First Set,4,They Love Each Other
"Inglewood, CA",12/27/2019,First Set,5,Me and My Uncle
"Inglewood, CA",12/27/2019,First Set,6,Cassidy
"Inglewood, CA",12/27/2019,First Set,7,Brown Eyed Women
"Inglewood, CA",12/27/2019,First Set,8,Don't Ease Me In
"Inglewood, CA",12/27/2019,Second Set,9,Playin in the Band
"Inglewood, CA",12/27/2019,Second Set,10,Terrapin Station
"Inglewood, CA",12/27/2019,Second Set,11,China Doll
"Inglewood, CA",12/27/2019,Second Set,12,Other One
"Inglewood, CA",12/27/2019,Second Set,13,Drums
"Inglewood, CA",12/27/2019,Second Set,14,Space
"Inglewood, CA",12/27/2019,Second Set,15,Other One V2
"Inglewood, CA",12/27/2019,Second Set,16,Wharf Rat
"Inglewood, CA",12/27/2019,Second Set,17,US Blues
"Inglewood, CA",12/27/2019,Encore,18,Ripple
"Inglewood, CA",12/28/2019,First Set,1,Viola Lee Blues
"Inglewood, CA",12/28/2019,First Set,2,Bertha
"Inglewood, CA",12/28/2019,First Set,3,Viola Lee Blues V2
"Inglewood, CA",12/28/2019,First Set,4,Jack Straw
"Inglewood, CA",12/28/2019,First Set,5,Big Boss Man
"Inglewood, CA",12/28/2019,First Set,6,Friend of the Devil
"Inglewood, CA",12/28/2019,First Set,7,West LA Fadeaway
"Inglewood, CA",12/28/2019,First Set,8,Lost Sailor
"Inglewood, CA",12/28/2019,First Set,9,Saint of Circumstance
"Inglewood, CA",12/28/2019,Second Set,10,Viola Lee Blues V3
"Inglewood, CA",12/28/2019,Second Set,11,China Cat Sunflower
"Inglewood, CA",12/28/2019,Second Set,12,I Know You Rider
"Inglewood, CA",12/28/2019,Second Set,13,Dark Star
"Inglewood, CA",12/28/2019,Second Set,14,He's Gone
"Inglewood, CA",12/28/2019,Second Set,15,Drums
"Inglewood, CA",12/28/2019,Second Set,16,Space
"Inglewood, CA",12/28/2019,Second Set,17,Althea
"Inglewood, CA",12/28/2019,Second Set,18,Morning Dew
"Inglewood, CA",12/28/2019,Second Set,19,One More Saturday Night
"Inglewood, CA",12/28/2019,Encore,20,The Weight
"San Francisco, CA",12/30/2019,First Set,1,Shakedown Street
"San Francisco, CA",12/30/2019,First Set,2,Mississippi Half Step
"San Francisco, CA",12/30/2019,First Set,3,Cumberland Blues
"San Francisco, CA",12/30/2019,First Set,4,It Hurts Me Too
"San Francisco, CA",12/30/2019,First Set,5,High Time
"San Francisco, CA",12/30/2019,First Set,6,Cold Rain and Snow
"San Francisco, CA",12/30/2019,First Set,7,Bird Song
"San Francisco, CA",12/30/2019,Second Set,8,Music Never Stopped
"San Francisco, CA",12/30/2019,Second Set,9,Deal
"San Francisco, CA",12/30/2019,Second Set,10,St. Stephen
"San Francisco, CA",12/30/2019,Second Set,11,William Tell Bridge
"San Francisco, CA",12/30/2019,Second Set,12,The Eleven
"San Francisco, CA",12/30/2019,Second Set,13,Lovelight
"San Francisco, CA",12/30/2019,Second Set,14,Drums
"San Francisco, CA",12/30/2019,Second Set,15,Space
"San Francisco, CA",12/30/2019,Second Set,16,The Wheel
"San Francisco, CA",12/30/2019,Second Set,17,Stella Blue
"San Francisco, CA",12/30/2019,Second Set,18,Casey Jones
"San Francisco, CA",12/30/2019,Encore,19,Quinn the Eskimo
"San Francisco, CA",12/31/2019,First Set,1,In The Midnight Hour
"San Francisco, CA",12/31/2019,First Set,2,Big Railroad Blues
"San Francisco, CA",12/31/2019,First Set,3,Iko Iko
"San Francisco, CA",12/31/2019,First Set,4,Mr. Charlie
"San Francisco, CA",12/31/2019,First Set,5,Loser
"San Francisco, CA",12/31/2019,First Set,6,Tennessee Jed
"San Francisco, CA",12/31/2019,First Set,7,Sugaree
"San Francisco, CA",12/31/2019,First Set,8,New Speedway Boogie
"San Francisco, CA",12/31/2019,Second Set,9,Help on the Way
"San Francisco, CA",12/31/2019,Second Set,10,Slipknot
"San Francisco, CA",12/31/2019,Second Set,11,Franklin's Tower
"San Francisco, CA",12/31/2019,Second Set,12,Estimated Prophet
"San Francisco, CA",12/31/2019,Second Set,13,Eyes of the World
"San Francisco, CA",12/31/2019,Second Set,14,Drums
"San Francisco, CA",12/31/2019,Second Set,15,Space
"San Francisco, CA",12/31/2019,Second Set,16,Milestones
"San Francisco, CA",12/31/2019,Second Set,17,Standing on the Moon
"San Francisco, CA",12/31/2019,Second Set,18,Not Fade Away
"San Francisco, CA",12/31/2019,Third Set,19,Sugar Magnolia
"San Francisco, CA",12/31/2019,Third Set,20,Uncle John's Band
"San Francisco, CA",12/31/2019,Third Set,21,Scarlet Begonias
"San Francisco, CA",12/31/2019,Third Set,22,Fire on the Mountain
"San Francisco, CA",12/31/2019,Third Set,23,Sunshine Daydream
"San Francisco, CA",12/31/2019,Encore,24,Touch of Grey
