Location,Date,Set Type,Song Order,Song
"New York, NY",10/31/2019,First Set,1,Ripple
"New York, NY",10/31/2019,First Set,2,Shakedown Street
"New York, NY",10/31/2019,First Set,3,Bertha
"New York, NY",10/31/2019,First Set,4,Loser
"New York, NY",10/31/2019,First Set,5,They Love Each Other
"New York, NY",10/31/2019,First Set,6,Tennessee Jed
"New York, NY",10/31/2019,First Set,7,Terrapin Station
"New York, NY",10/31/2019,Second Set,8,Playin in the Band
"New York, NY",10/31/2019,Second Set,9,Truckin
"New York, NY",10/31/2019,Second Set,10,Uncle John's Band
"New York, NY",10/31/2019,Second Set,11,China Doll
"New York, NY",10/31/2019,Second Set,12,Eyes of the World
"New York, NY",10/31/2019,Second Set,13,Drums
"New York, NY",10/31/2019,Second Set,14,Space
"New York, NY",10/31/2019,Second Set,15,The Wheel
"New York, NY",10/31/2019,Second Set,16,Standing on the Moon
"New York, NY",10/31/2019,Second Set,17,Sugar Magnolia
"New York, NY",10/31/2019,Second Set,18,Sunshine Daydream
"New York, NY",10/31/2019,Encore,19,Werewolves of London
"New York, NY",11/1/2019,First Set,1,Cold Rain and Snow
"New York, NY",11/1/2019,First Set,2,Hell in a Bucket
"New York, NY",11/1/2019,First Set,3,Row Jimmy
"New York, NY",11/1/2019,First Set,4,Ramble On Rose
"New York, NY",11/1/2019,First Set,5,Mississippi Half Step
"New York, NY",11/1/2019,First Set,6,Mr. Charlie
"New York, NY",11/1/2019,First Set,7,Friend of the Devil
"New York, NY",11/1/2019,First Set,8,Bird Song
"New York, NY",11/1/2019,Second Set,9,Scarlet Begonias
"New York, NY",11/1/2019,Second Set,10,Fire on the Mountain
"New York, NY",11/1/2019,Second Set,11,He's Gone
"New York, NY",11/1/2019,Second Set,12,Smokestack Lightning
"New York, NY",11/1/2019,Second Set,13,He's Gone Reprise
"New York, NY",11/1/2019,Second Set,14,China Cat Sunflower
"New York, NY",11/1/2019,Second Set,15,I Know You Rider
"New York, NY",11/1/2019,Second Set,16,Drums
"New York, NY",11/1/2019,Second Set,17,Space
"New York, NY",11/1/2019,Second Set,18,Althea
