Location,Date,Set Type,Song Order,Song
"Albany, NY",10/29/2015,First Set,1,Playin in the Band
"Albany, NY",10/29/2015,First Set,2,Cold Rain and Snow
"Albany, NY",10/29/2015,First Set,3,Tennessee Jed
"Albany, NY",10/29/2015,First Set,4,Feel Like a Stranger
"Albany, NY",10/29/2015,First Set,5,He's Gone
"Albany, NY",10/29/2015,First Set,6,Bird Song
"Albany, NY",10/29/2015,First Set,7,Music Never Stopped
"Albany, NY",10/29/2015,Second Set,8,Lost Sailor
"Albany, NY",10/29/2015,Second Set,9,Saint of Circumstance
"Albany, NY",10/29/2015,Second Set,10,Help on the Way
"Albany, NY",10/29/2015,Second Set,11,Slipknot
"Albany, NY",10/29/2015,Second Set,12,Franklin's Tower
"Albany, NY",10/29/2015,Second Set,13,Drums
"Albany, NY",10/29/2015,Second Set,14,Space
"Albany, NY",10/29/2015,Second Set,15,Other One
"Albany, NY",10/29/2015,Second Set,16,Stella Blue
"Albany, NY",10/29/2015,Second Set,17,Not Fade Away
"Albany, NY",10/29/2015,Encore,18,Touch of Grey
"New York, NY",10/31/2015,First Set,1,Jack Straw
"New York, NY",10/31/2015,First Set,2,New Speedway Boogie
"New York, NY",10/31/2015,First Set,3,Brown Eyed Women
"New York, NY",10/31/2015,First Set,4,Ramble On Rose
"New York, NY",10/31/2015,First Set,5,Althea
"New York, NY",10/31/2015,First Set,6,Cassidy
"New York, NY",10/31/2015,First Set,7,Deal
"New York, NY",10/31/2015,Second Set,8,Truckin
"New York, NY",10/31/2015,Second Set,9,Wang Dang Doodle
"New York, NY",10/31/2015,Second Set,10,Estimated Prophet
"New York, NY",10/31/2015,Second Set,11,Eyes of the World
"New York, NY",10/31/2015,Second Set,12,Terrapin Station
"New York, NY",10/31/2015,Second Set,13,Drums
"New York, NY",10/31/2015,Second Set,14,Space
"New York, NY",10/31/2015,Second Set,15,China Cat Sunflower
"New York, NY",10/31/2015,Second Set,16,I Know You Rider
"New York, NY",10/31/2015,Second Set,17,Morning Dew
"New York, NY",10/31/2015,Second Set,18,One More Saturday Night
"New York, NY",10/31/2015,Encore,19,Werewolves of London
"New York, NY",11/1/2015,First Set,1,Samson & Delilah
"New York, NY",11/1/2015,First Set,2,Minglewood Blues
"New York, NY",11/1/2015,First Set,3,Bertha
"New York, NY",11/1/2015,First Set,4,Sugaree
"New York, NY",11/1/2015,First Set,5,Friend of the Devil
"New York, NY",11/1/2015,First Set,6,Crazy Fingers
"New York, NY",11/1/2015,First Set,7,Uncle John's Band
"New York, NY",11/1/2015,Second Set,8,Scarlet Begonias
"New York, NY",11/1/2015,Second Set,9,Fire on the Mountain
"New York, NY",11/1/2015,Second Set,10,Shakedown Street
"New York, NY",11/1/2015,Second Set,11,Dark Star
"New York, NY",11/1/2015,Second Set,12,Drums
"New York, NY",11/1/2015,Second Set,13,Space
"New York, NY",11/1/2015,Second Set,14,Wharf Rat
"New York, NY",11/1/2015,Second Set,15,Playin in the Band
"New York, NY",11/1/2015,Second Set,16,GDTRFB
"New York, NY",11/1/2015,Encore,17,Ripple
"Philadelphia, PA",11/5/2015,First Set,1,Here Comes Sunshine
"Philadelphia, PA",11/5/2015,First Set,2,Loose Lucy
"Philadelphia, PA",11/5/2015,First Set,3,Candyman
"Philadelphia, PA",11/5/2015,First Set,4,Mississippi Half Step
"Philadelphia, PA",11/5/2015,First Set,5,Bird Song
"Philadelphia, PA",11/5/2015,First Set,6,Cumberland Blues
"Philadelphia, PA",11/5/2015,First Set,7,Casey Jones
"Philadelphia, PA",11/5/2015,Second Set,8,Iko Iko
"Philadelphia, PA",11/5/2015,Second Set,9,Feel Like a Stranger
"Philadelphia, PA",11/5/2015,Second Set,10,China Cat Sunflower
"Philadelphia, PA",11/5/2015,Second Set,11,I Know You Rider
"Philadelphia, PA",11/5/2015,Second Set,12,Drums
"Philadelphia, PA",11/5/2015,Second Set,13,Space
"Philadelphia, PA",11/5/2015,Second Set,14,Playin in the Band
"Philadelphia, PA",11/5/2015,Second Set,15,Standing on the Moon
"Philadelphia, PA",11/5/2015,Second Set,16,Sugar Magnolia
"Philadelphia, PA",11/5/2015,Encore,17,US Blues
"Washington, DC",11/6/2015,First Set,1,Truckin
"Washington, DC",11/6/2015,First Set,2,Big Boss Man
"Washington, DC",11/6/2015,First Set,3,Brown Eyed Women
"Washington, DC",11/6/2015,First Set,4,West LA Fadeaway
"Washington, DC",11/6/2015,First Set,5,Loser
"Washington, DC",11/6/2015,First Set,6,Lost Sailor
"Washington, DC",11/6/2015,First Set,7,Saint of Circumstance
"Washington, DC",11/6/2015,Second Set,8,Bertha
"Washington, DC",11/6/2015,Second Set,9,Eyes of the World
"Washington, DC",11/6/2015,Second Set,10,Scarlet Begonias
"Washington, DC",11/6/2015,Second Set,11,Fire on the Mountain
"Washington, DC",11/6/2015,Second Set,12,Drums
"Washington, DC",11/6/2015,Second Set,13,Space
"Washington, DC",11/6/2015,Second Set,14,The Wheel
"Washington, DC",11/6/2015,Second Set,15,Looks Like Rain
"Washington, DC",11/6/2015,Second Set,16,In The Midnight Hour
