Location,Date,Set Type,Song Order,Song
"Washington, DC",11/6/2015,Encore,17,Touch of Grey
"New York, NY",11/7/2015,First Set,1,Shakedown Street
"New York, NY",11/7/2015,First Set,2,I Need A Miracle
"New York, NY",11/7/2015,First Set,3,Cold Rain and Snow
"New York, NY",11/7/2015,First Set,4,Tennessee Jed
"New York, NY",11/7/2015,First Set,5,They Love Each Other
"New York, NY",11/7/2015,First Set,6,Jack Straw
"New York, NY",11/7/2015,Second Set,7,Help on the Way
"New York, NY",11/7/2015,Second Set,8,Slipknot
"New York, NY",11/7/2015,Second Set,9,Franklin's Tower
"New York, NY",11/7/2015,Second Set,10,He's Gone
"New York, NY",11/7/2015,Second Set,11,St. Stephen
"New York, NY",11/7/2015,Second Set,12,Drums
"New York, NY",11/7/2015,Second Set,13,Space
"New York, NY",11/7/2015,Second Set,14,Other One
"New York, NY",11/7/2015,Second Set,15,Stella Blue
"New York, NY",11/7/2015,Second Set,16,Not Fade Away
"New York, NY",11/7/2015,Encore,17,Brokedown Palace
"Worcester, MA",11/10/2015,First Set,1,Cassidy
"Worcester, MA",11/10/2015,First Set,2,Row Jimmy
"Worcester, MA",11/10/2015,First Set,3,Ramble On Rose
"Worcester, MA",11/10/2015,First Set,4,Big River
"Worcester, MA",11/10/2015,First Set,5,Peggy-O
"Worcester, MA",11/10/2015,First Set,6,Sugaree
"Worcester, MA",11/10/2015,First Set,7,Music Never Stopped
"Worcester, MA",11/10/2015,Second Set,8,Deal
"Worcester, MA",11/10/2015,Second Set,9,Uncle John's Band
"Worcester, MA",11/10/2015,Second Set,10,Estimated Prophet
"Worcester, MA",11/10/2015,Second Set,11,Terrapin Station
"Worcester, MA",11/10/2015,Second Set,12,Drums
"Worcester, MA",11/10/2015,Second Set,13,Space
"Worcester, MA",11/10/2015,Second Set,14,Dear Prudence
"Worcester, MA",11/10/2015,Second Set,15,"Get Out of My Life, Woman"
"Worcester, MA",11/10/2015,Second Set,16,GDTRFB
"Worcester, MA",11/10/2015,Encore,17,Ripple
"Buffalo, NY",11/11/2015,First Set,1,Promised Land
"Buffalo, NY",11/11/2015,First Set,2,Minglewood Blues
"Buffalo, NY",11/11/2015,First Set,3,Bertha
"Buffalo, NY",11/11/2015,First Set,4,Here Comes Sunshine
"Buffalo, NY",11/11/2015,First Set,5,El Paso
"Buffalo, NY",11/11/2015,First Set,6,Althea
"Buffalo, NY",11/11/2015,First Set,7,US Blues
"Buffalo, NY",11/11/2015,Second Set,8,Viola Lee Blues
"Buffalo, NY",11/11/2015,Second Set,9,Wang Dang Doodle
"Buffalo, NY",11/11/2015,Second Set,10,Viola Lee Blues V3
"Buffalo, NY",11/11/2015,Second Set,11,New Speedway Boogie
"Buffalo, NY",11/11/2015,Second Set,12,Truckin
"Buffalo, NY",11/11/2015,Second Set,13,Dark Star
"Buffalo, NY",11/11/2015,Second Set,14,Drums
"Buffalo, NY",11/11/2015,Second Set,15,Space
"Buffalo, NY",11/11/2015,Second Set,16,Dark Star (Second Verse)
"Buffalo, NY",11/11/2015,Second Set,17,China Doll
"Buffalo, NY",11/11/2015,Second Set,18,Sugar Magnolia
"Buffalo, NY",11/11/2015,Encore,19,Casey Jones
"Columbus, OH",11/13/2015,First Set,1,Mississippi Half Step
"Columbus, OH",11/13/2015,First Set,2,Brown Eyed Women
"Columbus, OH",11/13/2015,First Set,3,Tennessee Jed
"Columbus, OH",11/13/2015,First Set,4,Little Red Rooster
"Columbus, OH",11/13/2015,First Set,5,Bird Song
"Columbus, OH",11/13/2015,First Set,6,Standing on the Moon
"Columbus, OH",11/13/2015,First Set,7,Cumberland Blues
"Columbus, OH",11/13/2015,Second Set,8,Playin in the Band
"Columbus, OH",11/13/2015,Second Set,9,China Cat Sunflower
"Columbus, OH",11/13/2015,Second Set,10,I Know You Rider
"Columbus, OH",11/13/2015,Second Set,11,Eyes of the World
"Columbus, OH",11/13/2015,Second Set,12,Drums
"Columbus, OH",11/13/2015,Second Set,13,Space
"Columbus, OH",11/13/2015,Second Set,14,The Wheel
"Columbus, OH",11/13/2015,Second Set,15,Black Peter
"Columbus, OH",11/13/2015,Second Set,16,Good Lovin
"Columbus, OH",11/13/2015,Encore,17,Touch of Grey
"Greensboro, NC",11/14/2015,First Set,1,Hell in a Bucket
"Greensboro, NC",11/14/2015,First Set,2,Crazy Fingers
"Greensboro, NC",11/14/2015,First Set,3,He's Gone
"Greensboro, NC",11/14/2015,First Set,4,Me and My Uncle
"Greensboro, NC",11/14/2015,First Set,5,Ship of Fools
"Greensboro, NC",11/14/2015,First Set,6,Lost Sailor
"Greensboro, NC",11/14/2015,First Set,7,Saint of Circumstance
"Greensboro, NC",11/14/2015,Second Set,8,Jack Straw
"Greensboro, NC",11/14/2015,Second Set,9,Shakedown Street
"Greensboro, NC",11/14/2015,Second Set,10,Scarlet Begonias
"Greensboro, NC",11/14/2015,Second Set,11,Fire on the Mountain
"Greensboro, NC",11/14/2015,Second Set,12,Drums
"Greensboro, NC",11/14/2015,Second Set,13,Space
"Greensboro, NC",11/14/2015,Second Set,14,Other One
"Greensboro, NC",11/14/2015,Second Set,15,Wharf Rat
"Greensboro, NC",11/14/2015,Second Set,16,One More Saturday Night
"Greensboro, NC",11/14/2015,Encore,17,Friend of the Devil
"Atlanta, GA",11/17/2015,First Set,1,Feel Like a Stranger
"Atlanta, GA",11/17/2015,First Set,2,Cold Rain and Snow
"Atlanta, GA",11/17/2015,First Set,3,Promised Land
"Atlanta, GA",11/17/2015,First Set,4,Loser
"Atlanta, GA",11/17/2015,First Set,5,Bertha
"Atlanta, GA",11/17/2015,First Set,6,Cassidy
"Atlanta, GA",11/17/2015,First Set,7,Don't Ease Me In
"Atlanta, GA",11/17/2015,Second Set,8,St. Stephen
"Atlanta, GA",11/17/2015,Second Set,9,Uncle John's Band
"Atlanta, GA",11/17/2015,Second Set,10,Help on the Way
"Atlanta, GA",11/17/2015,Second Set,11,Slipknot
"Atlanta, GA",11/17/2015,Second Set,12,Franklin's Tower
"Atlanta, GA",11/17/2015,Second Set,13,Drums
"Atlanta, GA",11/17/2015,Second Set,14,Space
"Atlanta, GA",11/17/2015,Second Set,15,I Need A Miracle
"Atlanta, GA",11/17/2015,Second Set,16,Morning Dew
"Atlanta, GA",11/17/2015,Second Set,17,Not Fade Away
"Atlanta, GA",11/17/2015,Encore,18,Brokedown Palace
"Nashville, TN",11/18/2015,First Set,1,Truckin
"Nashville, TN",11/18/2015,First Set,2,Loose Lucy
"Nashville, TN",11/18/2015,First Set,3,Althea
"Nashville, TN",11/18/2015,First Set,4,El Paso
"Nashville, TN",11/18/2015,First Set,5,West LA Fadeaway
"Nashville, TN",11/18/2015,First Set,6,Tennessee Jed
"Nashville, TN",11/18/2015,First Set,7,Deal
"Nashville, TN",11/18/2015,Second Set,8,Playin in the Band
"Nashville, TN",11/18/2015,Second Set,9,New Speedway Boogie
"Nashville, TN",11/18/2015,Second Set,10,Estimated Prophet
"Nashville, TN",11/18/2015,Second Set,11,Viola Lee Blues
"Nashville, TN",11/18/2015,Second Set,12,Drums
"Nashville, TN",11/18/2015,Second Set,13,Space
"Nashville, TN",11/18/2015,Second Set,14,Stella Blue
"Nashville, TN",11/18/2015,Second Set,15,China Cat Sunflower
"Nashville, TN",11/18/2015,Second Set,16,I Know You Rider
"Nashville, TN",11/18/2015,Encore,17,Johnny B. Goode
"St Louis, MO",11/20/2015,First Set,1,Shakedown Street
"St Louis, MO",11/20/2015,First Set,2,Brown Eyed Women
"St Louis, MO",11/20/2015,First Set,3,Minglewood Blues
"St Louis, MO",11/20/2015,First Set,4,They Love Each Other
"St Louis, MO",11/20/2015,First Set,5,Black Throated Wind
"St Louis, MO",11/20/2015,First Set,6,Sugaree
"St Louis, MO",11/20/2015,First Set,7,Music Never Stopped
"St Louis, MO",11/20/2015,Second Set,8,Iko Iko
"St Louis, MO",11/20/2015,Second Set,9,Eyes of the World
"St Louis, MO",11/20/2015,Second Set,10,Let it Grow
"St Louis, MO",11/20/2015,Second Set,11,Terrapin Station
"St Louis, MO",11/20/2015,Second Set,12,Drums
"St Louis, MO",11/20/2015,Second Set,13,Space
"St Louis, MO",11/20/2015,Second Set,14,The Wheel
"St Louis, MO",11/20/2015,Second Set,15,Looks Like Rain
"St Louis, MO",11/20/2015,Second Set,16,Sugar Magnolia
"St Louis, MO",11/20/2015,Encore,17,Ripple
"Minneapolis, MN",11/21/2015,First Set,1,Jack Straw
"Minneapolis, MN",11/21/2015,First Set,2,Big Boss Man
"Minneapolis, MN",11/21/2015,First Set,3,Mexicali Blues
"Minneapolis, MN",11/21/2015,First Set,4,Row Jimmy
"Minneapolis, MN",11/21/2015,First Set,5,Ramble On Rose
"Minneapolis, MN",11/21/2015,First Set,6,Hell in a Bucket
"Minneapolis, MN",11/21/2015,First Set,7,Casey Jones
"Minneapolis, MN",11/21/2015,Second Set,8,Cumberland Blues
"Minneapolis, MN",11/21/2015,Second Set,9,Cryptical Envelopment
"Minneapolis, MN",11/21/2015,Second Set,10,Uncle John's Band
"Minneapolis, MN",11/21/2015,Second Set,11,Scarlet Begonias
"Minneapolis, MN",11/21/2015,Second Set,12,Fire on the Mountain
"Minneapolis, MN",11/21/2015,Second Set,13,Drums
"Minneapolis, MN",11/21/2015,Second Set,14,Space
"Minneapolis, MN",11/21/2015,Second Set,15,Dear Prudence
"Minneapolis, MN",11/21/2015,Second Set,16,GDTRFB
"Minneapolis, MN",11/21/2015,Second Set,17,One More Saturday Night
"Minneapolis, MN",11/21/2015,Encore,18,Friend of the Devil
"Broomfield, CO",11/24/2015,First Set,1,Cold Rain and Snow
"Broomfield, CO",11/24/2015,First Set,2,New Speedway Boogie
"Broomfield, CO",11/24/2015,First Set,3,Smokestack Lightning
"Broomfield, CO",11/24/2015,First Set,4,New Speedway Boogie Reprise
"Broomfield, CO",11/24/2015,First Set,5,Me and My Uncle
"Broomfield, CO",11/24/2015,First Set,6,Candyman
"Broomfield, CO",11/24/2015,First Set,7,Bertha
"Broomfield, CO",11/24/2015,First Set,8,Lost Sailor
"Broomfield, CO",11/24/2015,First Set,9,Saint of Circumstance
"Broomfield, CO",11/24/2015,Second Set,10,Help on the Way
"Broomfield, CO",11/24/2015,Second Set,11,Slipknot
"Broomfield, CO",11/24/2015,Second Set,12,Franklin's Tower
"Broomfield, CO",11/24/2015,Second Set,13,Estimated Prophet
"Broomfield, CO",11/24/2015,Second Set,14,Dark Star
"Broomfield, CO",11/24/2015,Second Set,15,Drums
"Broomfield, CO",11/24/2015,Second Set,16,Space
"Broomfield, CO",11/24/2015,Second Set,17,Black Peter
"Broomfield, CO",11/24/2015,Second Set,18,Good Lovin
"Broomfield, CO",11/24/2015,Encore,19,Touch of Grey
"Broomfield, CO",11/25/2015,First Set,1,Hell in a Bucket
"Broomfield, CO",11/25/2015,First Set,2,Brown Eyed Women
"Broomfield, CO",11/25/2015,First Set,3,Feel Like a Stranger
"Broomfield, CO",11/25/2015,First Set,4,Peggy-O
"Broomfield, CO",11/25/2015,First Set,5,Little Red Rooster
"Broomfield, CO",11/25/2015,First Set,6,Bird Song
"Broomfield, CO",11/25/2015,First Set,7,Music Never Stopped
"Broomfield, CO",11/25/2015,Second Set,8,Truckin
"Broomfield, CO",11/25/2015,Second Set,9,He's Gone
"Broomfield, CO",11/25/2015,Second Set,10,Eyes of the World
"Broomfield, CO",11/25/2015,Second Set,11,Terrapin Station
"Broomfield, CO",11/25/2015,Second Set,12,Drums
"Broomfield, CO",11/25/2015,Second Set,13,Space
"Broomfield, CO",11/25/2015,Second Set,14,Stella Blue
"Broomfield, CO",11/25/2015,Second Set,15,China Cat Sunflower
"Broomfield, CO",11/25/2015,Second Set,16,I Know You Rider
"Broomfield, CO",11/25/2015,Encore,17,Not Fade Away
"Las Vegas, NV",11/27/2015,First Set,1,Shakedown Street
"Las Vegas, NV",11/27/2015,First Set,2,Uncle John's Band
"Las Vegas, NV",11/27/2015,First Set,3,Althea
"Las Vegas, NV",11/27/2015,First Set,4,Jack Straw
"Las Vegas, NV",11/27/2015,First Set,5,Row Jimmy
"Las Vegas, NV",11/27/2015,First Set,6,Black Throated Wind
"Las Vegas, NV",11/27/2015,First Set,7,Casey Jones
"Las Vegas, NV",11/27/2015,Second Set,8,Dark Star
"Las Vegas, NV",11/27/2015,Second Set,9,Playin in the Band
"Las Vegas, NV",11/27/2015,Second Set,10,Let it Grow
"Las Vegas, NV",11/27/2015,Second Set,11,St. Stephen
"Las Vegas, NV",11/27/2015,Second Set,12,Drums
"Las Vegas, NV",11/27/2015,Second Set,13,Space
"Las Vegas, NV",11/27/2015,Second Set,14,Wharf Rat
"Las Vegas, NV",11/27/2015,Second Set,15,Sugar Magnolia
"Las Vegas, NV",11/27/2015,Encore,16,Ripple
"Las Vegas, NV",11/28/2015,First Set,1,Cassidy
"Las Vegas, NV",11/28/2015,First Set,2,Loose Lucy
"Las Vegas, NV",11/28/2015,First Set,3,West LA Fadeaway
"Las Vegas, NV",11/28/2015,First Set,4,Ramble On Rose
"Las Vegas, NV",11/28/2015,First Set,5,Tennessee Jed
"Las Vegas, NV",11/28/2015,First Set,6,Sugaree
"Las Vegas, NV",11/28/2015,First Set,7,Deal
"Las Vegas, NV",11/28/2015,First Set,8,One More Saturday Night
"Las Vegas, NV",11/28/2015,Second Set,9,Help on the Way
"Las Vegas, NV",11/28/2015,Second Set,10,Slipknot
"Las Vegas, NV",11/28/2015,Second Set,11,Franklin's Tower
"Las Vegas, NV",11/28/2015,Second Set,12,Scarlet Begonias
"Las Vegas, NV",11/28/2015,Second Set,13,Fire on the Mountain
"Las Vegas, NV",11/28/2015,Second Set,14,Drums
"Las Vegas, NV",11/28/2015,Second Set,15,Space
"Las Vegas, NV",11/28/2015,Second Set,16,Cryptical Envelopment
"Las Vegas, NV",11/28/2015,Second Set,17,Other One
"Las Vegas, NV",11/28/2015,Second Set,18,Morning Dew
"Las Vegas, NV",11/28/2015,Second Set,19,Lovelight
"Las Vegas, NV",11/28/2015,Encore,20,Brokedown Palace
"San Francisco, CA",12/27/2015,First Set,1,Truckin
"San Francisco, CA",12/27/2015,First Set,2,Cold Rain and Snow
"San Francisco, CA",12/27/2015,First Set,3,Brown Eyed Women
"San Francisco, CA",12/27/2015,First Set,4,Black Throated Wind
"San Francisco, CA",12/27/2015,First Set,5,Standing on the Moon
"San Francisco, CA",12/27/2015,First Set,6,Cassidy
"San Francisco, CA",12/27/2015,First Set,7,US Blues
"San Francisco, CA",12/27/2015,Second Set,8,Samson & Delilah
"San Francisco, CA",12/27/2015,Second Set,9,Deal
"San Francisco, CA",12/27/2015,Second Set,10,He's Gone
"San Francisco, CA",12/27/2015,Second Set,11,Estimated Prophet
"San Francisco, CA",12/27/2015,Second Set,12,Eyes of the World
"San Francisco, CA",12/27/2015,Second Set,13,Drums
"San Francisco, CA",12/27/2015,Second Set,14,Space
"San Francisco, CA",12/27/2015,Second Set,15,Black Peter
"San Francisco, CA",12/27/2015,Second Set,16,GDTRFB
"San Francisco, CA",12/27/2015,Encore,17,Ripple
"San Francisco, CA",12/27/2015,Encore,18,Casey Jones
"San Francisco, CA",12/28/2015,First Set,1,Music Never Stopped
"San Francisco, CA",12/28/2015,First Set,2,Shakey Ground
"San Francisco, CA",12/28/2015,First Set,3,Mississippi Half Step
"San Francisco, CA",12/28/2015,First Set,4,Candyman
"San Francisco, CA",12/28/2015,First Set,5,Me and My Uncle
"San Francisco, CA",12/28/2015,First Set,6,Tennessee Jed
"San Francisco, CA",12/28/2015,First Set,7,Jack Straw
"San Francisco, CA",12/28/2015,First Set,8,New Speedway Boogie
"San Francisco, CA",12/28/2015,Second Set,9,Lost Sailor
"San Francisco, CA",12/28/2015,Second Set,10,Saint of Circumstance
"San Francisco, CA",12/28/2015,Second Set,11,Help on the Way
"San Francisco, CA",12/28/2015,Second Set,12,Slipknot
"San Francisco, CA",12/28/2015,Second Set,13,Franklin's Tower
"San Francisco, CA",12/28/2015,Second Set,14,Drums
"San Francisco, CA",12/28/2015,Second Set,15,Space
"San Francisco, CA",12/28/2015,Second Set,16,Looks Like Rain
"San Francisco, CA",12/28/2015,Second Set,17,The Wheel
"San Francisco, CA",12/28/2015,Second Set,18,Not Fade Away
"San Francisco, CA",12/28/2015,Encore,19,Brokedown Palace
"Inglewood, CA",12/30/2015,First Set,1,Minglewood Blues
"Inglewood, CA",12/30/2015,First Set,2,Here Comes Sunshine
"Inglewood, CA",12/30/2015,First Set,3,West LA Fadeaway
"Inglewood, CA",12/30/2015,First Set,4,Althea
"Inglewood, CA",12/30/2015,First Set,5,Loser
"Inglewood, CA",12/30/2015,First Set,6,Bertha
"Inglewood, CA",12/30/2015,First Set,7,Bird Song
"Inglewood, CA",12/30/2015,Second Set,8,Playin in the Band
"Inglewood, CA",12/30/2015,Second Set,9,Viola Lee Blues
"Inglewood, CA",12/30/2015,Second Set,10,Shakedown Street
"Inglewood, CA",12/30/2015,Second Set,11,China Cat Sunflower
"Inglewood, CA",12/30/2015,Second Set,12,I Know You Rider
"Inglewood, CA",12/30/2015,Second Set,13,Drums
"Inglewood, CA",12/30/2015,Second Set,14,Space
"Inglewood, CA",12/30/2015,Second Set,15,Other One
"Inglewood, CA",12/30/2015,Second Set,16,Wharf Rat
"Inglewood, CA",12/30/2015,Second Set,17,Lovelight
"Inglewood, CA",12/30/2015,Encore,18,Friend of the Devil
"Inglewood, CA",12/31/2015,First Set,1,Feel Like a Stranger
"Inglewood, CA",12/31/2015,First Set,2,They Love Each Other
"Inglewood, CA",12/31/2015,First Set,3,Ramble On Rose
"Inglewood, CA",12/31/2015,First Set,4,Loose Lucy
"Inglewood, CA",12/31/2015,First Set,5,Sugaree
"Inglewood, CA",12/31/2015,First Set,6,Hell in a Bucket
"Inglewood, CA",12/31/2015,Second Set,7,Dark Star
"Inglewood, CA",12/31/2015,Second Set,8,Uncle John's Band
"Inglewood, CA",12/31/2015,Second Set,9,Terrapin Station
"Inglewood, CA",12/31/2015,Second Set,10,Drums
"Inglewood, CA",12/31/2015,Second Set,11,Space
"Inglewood, CA",12/31/2015,Second Set,12,Dear Prudence
"Inglewood, CA",12/31/2015,Third Set,13,In The Midnight Hour
"Inglewood, CA",12/31/2015,Third Set,14,Sugar Magnolia
"Inglewood, CA",12/31/2015,Third Set,15,Scarlet Begonias
"Inglewood, CA",12/31/2015,Third Set,16,Touch of Grey
"Inglewood, CA",12/31/2015,Third Set,17,Fire on the Mountain
"Inglewood, CA",12/31/2015,Third Set,18,St. Stephen
"Inglewood, CA",12/31/2015,Third Set,19,Sunshine Daydream
"Inglewood, CA",12/31/2015,Encore,20,Brokedown Palace
