FID_1,Location,Date,Set Type,Song Order,Song,Show_num,STATE_ABBR
3364,"Las Vegas, NV",5/27/2017,First Set,1,Music Never Stopped,1,NV
3364,"Las Vegas, NV",5/27/2017,First Set,2,Dire Wolf,1,NV
3364,"Las Vegas, NV",5/27/2017,First Set,3,Jack Straw,1,NV
3364,"Las Vegas, NV",5/27/2017,First Set,4,Loser,1,NV
3364,"Las Vegas, NV",5/27/2017,First Set,5,Friend of the Devil,1,NV
3364,"Las Vegas, NV",5/27/2017,First Set,6,Brown Eyed Women,1,NV
3364,"Las Vegas, NV",5/27/2017,First Set,7,Bird Song,1,NV
3364,"Las Vegas, NV",5/27/2017,Second Set,8,Playin in the Band,1,NV
3364,"Las Vegas, NV",5/27/2017,Second Set,9,Deal,1,NV
3364,"Las Vegas, NV",5/27/2017,Second Set,10,China Cat Sunflower,1,NV
3364,"Las Vegas, NV",5/27/2017,Second Set,11,I Know You Rider,1,NV
3364,"Las Vegas, NV",5/27/2017,Second Set,12,Drums,1,NV
3364,"Las Vegas, NV",5/27/2017,Second Set,13,Space,1,NV
3364,"Las Vegas, NV",5/27/2017,Second Set,14,Other One,1,NV
3364,"Las Vegas, NV",5/27/2017,Second Set,15,Black Peter,1,NV
3364,"Las Vegas, NV",5/27/2017,Second Set,16,One More Saturday Night,1,NV
3364,"Las Vegas, NV",5/27/2017,Encore,17,Knocking on Heaven's Door,1,NV
910,"Phoenix, AZ",5/28/2017,First Set,1,Feel Like a Stranger,2,AZ
910,"Phoenix, AZ",5/28/2017,First Set,2,Bertha,2,AZ
910,"Phoenix, AZ",5/28/2017,First Set,3,Minglewood Blues,2,AZ
910,"Phoenix, AZ",5/28/2017,First Set,4,Cassidy,2,AZ
910,"Phoenix, AZ",5/28/2017,First Set,5,Peggy-O,2,AZ
910,"Phoenix, AZ",5/28/2017,First Set,6,Loose Lucy,2,AZ
910,"Phoenix, AZ",5/28/2017,First Set,7,Sugaree,2,AZ
910,"Phoenix, AZ",5/28/2017,First Set,8,Samson & Delilah,2,AZ
910,"Phoenix, AZ",5/28/2017,Second Set,9,Lost Sailor,2,AZ
