FID_1,Location,Date,Set Type,Song Order,Song,Show_num,STATE_ABBR
2132,"Ithica, NY",5/8/2023,First Set,1,Minglewood Blues,1,NY
2132,"Ithica, NY",5/8/2023,First Set,2,Althea,1,NY
2132,"Ithica, NY",5/8/2023,First Set,3,Estimated Prophet,1,NY
2132,"Ithica, NY",5/8/2023,First Set,4,Eyes of the World,1,NY
2132,"Ithica, NY",5/8/2023,First Set,5,Jack Straw,1,NY
2132,"Ithica, NY",5/8/2023,First Set,6,Bertha,1,NY
2132,"Ithica, NY",5/8/2023,First Set,7,Cassidy,1,NY
2132,"Ithica, NY",5/8/2023,First Set,8,Deal,1,NY
2132,"Ithica, NY",5/8/2023,Second Set,9,China Cat Sunflower,1,NY
2132,"Ithica, NY",5/8/2023,Second Set,10,I Know You Rider,1,NY
2132,"Ithica, NY",5/8/2023,Second Set,11,Help on the Way,1,NY
2132,"Ithica, NY",5/8/2023,Second Set,12,Slipknot,1,NY
2132,"Ithica, NY",5/8/2023,Second Set,13,Franklin's Tower,1,NY
2132,"Ithica, NY",5/8/2023,Second Set,14,Drums,1,NY
2132,"Ithica, NY",5/8/2023,Second Set,15,Space,1,NY
2132,"Ithica, NY",5/8/2023,Second Set,16,Scarlet Begonias,1,NY
2132,"Ithica, NY",5/8/2023,Second Set,17,Fire on the Mountain,1,NY
2132,"Ithica, NY",5/8/2023,Second Set,18,Morning Dew,1,NY
2132,"Ithica, NY",5/8/2023,Encore,19,Terrapin Station,1,NY
1164,"Inglewood, CA",5/19/2023,First Set,1,Shakedown Street,2,CA
1164,"Inglewood, CA",5/19/2023,First Set,2,Cold Rain and Snow,2,CA
1164,"Inglewood, CA",5/19/2023,First Set,3,Mississippi Half Step,2,CA
1164,"Inglewood, CA",5/19/2023,First Set,4,They Love Each Other,2,CA
1164,"Inglewood, CA",5/19/2023,First Set,5,St. Stephen,2,CA
1164,"Inglewood, CA",5/19/2023,First Set,6,William Tell Bridge,2,CA
1164,"Inglewood, CA",5/19/2023,First Set,7,The Eleven,2,CA
