FID_1,Location,Date,Set Type,Song Order,Song,Show_num,STATE_ABBR
2318,"Raleigh, NC",8/16/2021,First Set,1,Touch of Grey,1,NC
2318,"Raleigh, NC",8/16/2021,First Set,2,Shakedown Street,1,NC
2318,"Raleigh, NC",8/16/2021,First Set,3,Deal,1,NC
2318,"Raleigh, NC",8/16/2021,First Set,4,Tennessee Jed,1,NC
2318,"Raleigh, NC",8/16/2021,First Set,5,Brown Eyed Women,1,NC
2318,"Raleigh, NC",8/16/2021,First Set,6,New Speedway Boogie,1,NC
2318,"Raleigh, NC",8/16/2021,Second Set,7,Playin in the Band,1,NC
2318,"Raleigh, NC",8/16/2021,Second Set,8,A Love Supreme,1,NC
2318,"Raleigh, NC",8/16/2021,Second Set,9,Truckin,1,NC
2318,"Raleigh, NC",8/16/2021,Second Set,10,Spoonful,1,NC
2318,"Raleigh, NC",8/16/2021,Second Set,11,Playing Reprise,1,NC
2318,"Raleigh, NC",8/16/2021,Second Set,12,Help on the Way,1,NC
2318,"Raleigh, NC",8/16/2021,Second Set,13,Slipknot,1,NC
2318,"Raleigh, NC",8/16/2021,Second Set,14,Franklin's Tower,1,NC
2318,"Raleigh, NC",8/16/2021,Second Set,15,Drums,1,NC
2318,"Raleigh, NC",8/16/2021,Second Set,16,Space,1,NC
2318,"Raleigh, NC",8/16/2021,Second Set,17,The Wheel,1,NC
2318,"Raleigh, NC",8/16/2021,Second Set,18,Death Don't Have No Mercy,1,NC
2318,"Raleigh, NC",8/16/2021,Second Set,19,Not Fade Away,1,NC
9998,"Bristow, VA",8/18/2021,First Set,1,Cold Rain and Snow,2,VA
9998,"Bristow, VA",8/18/2021,First Set,2,Feel Like a Stranger,2,VA
9998,"Bristow, VA",8/18/2021,First Set,3,Mr. Charlie,2,VA
9998,"Bristow, VA",8/18/2021,First Set,4,Friend of the Devil,2,VA
9998,"Bristow, VA",8/18/2021,First Set,5,Dire Wolf,2,VA
9998,"Bristow, VA",8/18/2021,First Set,6,Liberty,2,VA
9998,"Bristow, VA",8/18/2021,First Set,7,Bird Song,2,VA
9998,"Bristow, VA",8/18/2021,First Set,8,Don't Ease Me In,2,VA
9998,"Bristow, VA",8/18/2021,Second Set,9,Here Comes Sunshine,2,VA
9998,"Bristow, VA",8/18/2021,Second Set,10,Cumberland Blues,2,VA
9998,"Bristow, VA",8/18/2021,Second Set,11,He's Gone,2,VA
9998,"Bristow, VA",8/18/2021,Second Set,12,Scarlet Begonias,2,VA
9998,"Bristow, VA",8/18/2021,Second Set,13,Fire on the Mountain,2,VA
9998,"Bristow, VA",8/18/2021,Second Set,14,Drums,2,VA
9998,"Bristow, VA",8/18/2021,Second Set,15,Space,2,VA
9998,"Bristow, VA",8/18/2021,Second Set,16,Black Peter,2,VA
9998,"Bristow, VA",8/18/2021,Second Set,17,Sugar Magnolia,2,VA
9998,"Bristow, VA",8/18/2021,Encore,18,Black Muddy River,2,VA
2174,"New York, NY",8/20/2021,First Set,1,Let the Good Times Roll,3,NY
2174,"New York, NY",8/20/2021,First Set,2,Bertha,3,NY
2174,"New York, NY",8/20/2021,First Set,3,Good Lovin,3,NY
2174,"New York, NY",8/20/2021,First Set,4,Big Railroad Blues,3,NY
2174,"New York, NY",8/20/2021,First Set,5,Ramble On Rose,3,NY
2174,"New York, NY",8/20/2021,First Set,6,They Love Each Other,3,NY
2174,"New York, NY",8/20/2021,First Set,7,Cassidy,3,NY
2174,"New York, NY",8/20/2021,First Set,8,Casey Jones,3,NY
2174,"New York, NY",8/20/2021,Second Set,9,Eyes of the World,3,NY
2174,"New York, NY",8/20/2021,Second Set,10,Uncle John's Band,3,NY
2174,"New York, NY",8/20/2021,Second Set,11,China Doll,3,NY
2174,"New York, NY",8/20/2021,Second Set,12,China Cat Sunflower,3,NY
2174,"New York, NY",8/20/2021,Second Set,13,I Know You Rider,3,NY
2174,"New York, NY",8/20/2021,Second Set,14,Drums,3,NY
2174,"New York, NY",8/20/2021,Second Set,15,Space,3,NY
2174,"New York, NY",8/20/2021,Second Set,16,Spanish Jam,3,NY
2174,"New York, NY",8/20/2021,Second Set,17,Althea,3,NY
2174,"New York, NY",8/20/2021,Second Set,18,Stella Blue,3,NY
2174,"New York, NY",8/20/2021,Second Set,19,US Blues,3,NY
2174,"New York, NY",8/20/2021,Encore,20,The Weight,3,NY
2987,"Philadelphia, PA",8/21/2021,First Set,1,Mississippi Half Step,4,PA
2987,"Philadelphia, PA",8/21/2021,First Set,2,Alabama Getaway,4,PA
2987,"Philadelphia, PA",8/21/2021,First Set,3,Jack Straw,4,PA
2987,"Philadelphia, PA",8/21/2021,First Set,4,Franklin's Tower,4,PA
