FID_1,Location,Date,Set Type,Song Order,Song,Show_num,STATE_ABBR
452,"Mountain View, CA",5/31/2019,First Set,1,Playin in the Band,1,CA
452,"Mountain View, CA",5/31/2019,First Set,2,Shakedown Street,1,CA
452,"Mountain View, CA",5/31/2019,First Set,3,Brown Eyed Women,1,CA
452,"Mountain View, CA",5/31/2019,First Set,4,Mama Tried,1,CA
452,"Mountain View, CA",5/31/2019,First Set,5,Peggy-O,1,CA
452,"Mountain View, CA",5/31/2019,First Set,6,It Hurts Me Too,1,CA
452,"Mountain View, CA",5/31/2019,First Set,7,Black Throated Wind,1,CA
452,"Mountain View, CA",5/31/2019,First Set,8,Casey Jones,1,CA
452,"Mountain View, CA",5/31/2019,Second Set,9,Scarlet Begonias,1,CA
452,"Mountain View, CA",5/31/2019,Second Set,10,Fire on the Mountain,1,CA
452,"Mountain View, CA",5/31/2019,Second Set,11,Althea,1,CA
452,"Mountain View, CA",5/31/2019,Second Set,12,Estimated Prophet,1,CA
452,"Mountain View, CA",5/31/2019,Second Set,13,Eyes of the World,1,CA
452,"Mountain View, CA",5/31/2019,Second Set,14,Drums,1,CA
452,"Mountain View, CA",5/31/2019,Second Set,15,Space,1,CA
452,"Mountain View, CA",5/31/2019,Second Set,16,The Wheel,1,CA
452,"Mountain View, CA",5/31/2019,Second Set,17,Wharf Rat,1,CA
452,"Mountain View, CA",5/31/2019,Second Set,18,Sugar Magnolia,1,CA
452,"Mountain View, CA",5/31/2019,Second Set,19,Sunshine Daydream,1,CA
452,"Mountain View, CA",5/31/2019,Encore,20,The Weight,1,CA
452,"Mountain View, CA",6/1/2019,First Set,1,Bertha,2,CA
452,"Mountain View, CA",6/1/2019,First Set,2,Good Lovin,2,CA
452,"Mountain View, CA",6/1/2019,First Set,3,They Love Each Other,2,CA
452,"Mountain View, CA",6/1/2019,First Set,4,Big River,2,CA
452,"Mountain View, CA",6/1/2019,First Set,5,Mr. Charlie,2,CA
452,"Mountain View, CA",6/1/2019,First Set,6,Tennessee Jed,2,CA
452,"Mountain View, CA",6/1/2019,First Set,7,Lost Sailor,2,CA
452,"Mountain View, CA",6/1/2019,First Set,8,Saint of Circumstance,2,CA
452,"Mountain View, CA",6/1/2019,Second Set,9,China Cat Sunflower,2,CA
452,"Mountain View, CA",6/1/2019,Second Set,10,I Know You Rider,2,CA
452,"Mountain View, CA",6/1/2019,Second Set,11,Row Jimmy,2,CA
452,"Mountain View, CA",6/1/2019,Second Set,12,Deal,2,CA
452,"Mountain View, CA",6/1/2019,Second Set,13,Other One,2,CA
452,"Mountain View, CA",6/1/2019,Second Set,14,Drums,2,CA
452,"Mountain View, CA",6/1/2019,Second Set,15,Space,2,CA
452,"Mountain View, CA",6/1/2019,Second Set,16,My Favorite Things,2,CA
452,"Mountain View, CA",6/1/2019,Second Set,17,Other One V2,2,CA
452,"Mountain View, CA",6/1/2019,Second Set,18,Morning Dew,2,CA
452,"Mountain View, CA",6/1/2019,Encore,19,Uncle John's Band,2,CA
452,"Mountain View, CA",6/1/2019,Encore,20,Playing Reprise,2,CA
452,"Mountain View, CA",6/1/2019,Encore,21,Uncle John's Band Reprise,2,CA
9992,"Hollywood, CA",6/3/2019,First Set,1,Cold Rain and Snow,3,CA
9992,"Hollywood, CA",6/3/2019,First Set,2,Hell in a Bucket,3,CA
9992,"Hollywood, CA",6/3/2019,First Set,3,Easy Wind,3,CA
9992,"Hollywood, CA",6/3/2019,First Set,4,Mississippi Half Step,3,CA
9992,"Hollywood, CA",6/3/2019,First Set,5,High Time,3,CA
9992,"Hollywood, CA",6/3/2019,First Set,6,Jack Straw,3,CA
9992,"Hollywood, CA",6/3/2019,First Set,7,Bird Song,3,CA
9992,"Hollywood, CA",6/3/2019,First Set,8,Don't Ease Me In,3,CA
9992,"Hollywood, CA",6/3/2019,Second Set,9,Iko Iko,3,CA
9992,"Hollywood, CA",6/3/2019,Second Set,10,New Speedway Boogie,3,CA
9992,"Hollywood, CA",6/3/2019,Second Set,11,Sugaree,3,CA
9992,"Hollywood, CA",6/3/2019,Second Set,12,Help on the Way,3,CA
9992,"Hollywood, CA",6/3/2019,Second Set,13,Slipknot,3,CA
9992,"Hollywood, CA",6/3/2019,Second Set,14,Franklin's Tower,3,CA
9992,"Hollywood, CA",6/3/2019,Second Set,15,Drums,3,CA
9992,"Hollywood, CA",6/3/2019,Second Set,16,Space,3,CA
9992,"Hollywood, CA",6/3/2019,Second Set,17,Stella Blue,3,CA
9992,"Hollywood, CA",6/3/2019,Second Set,18,Not Fade Away,3,CA
9992,"Hollywood, CA",6/3/2019,Encore,19,Terrapin Station,3,CA
9992,"Hollywood, CA",6/4/2019,First Set,1,A Love Supreme,4,CA
9992,"Hollywood, CA",6/4/2019,First Set,2,Shakedown Street,4,CA
9992,"Hollywood, CA",6/4/2019,First Set,3,Friend of the Devil,4,CA
9992,"Hollywood, CA",6/4/2019,First Set,4,Alabama Getaway,4,CA
9992,"Hollywood, CA",6/4/2019,First Set,5,Ramble On Rose,4,CA
9992,"Hollywood, CA",6/4/2019,First Set,6,Brown Eyed Women,4,CA
9992,"Hollywood, CA",6/4/2019,First Set,7,Cassidy,4,CA
9992,"Hollywood, CA",6/4/2019,First Set,8,Fire on the Mountain,4,CA
9992,"Hollywood, CA",6/4/2019,Second Set,9,Estimated Prophet,4,CA
9992,"Hollywood, CA",6/4/2019,Second Set,10,Truckin,4,CA
9992,"Hollywood, CA",6/4/2019,Second Set,11,He's Gone,4,CA
9992,"Hollywood, CA",6/4/2019,Second Set,12,St. Stephen,4,CA
9992,"Hollywood, CA",6/4/2019,Second Set,13,Lovelight,4,CA
9992,"Hollywood, CA",6/4/2019,Second Set,14,Drums,4,CA
9992,"Hollywood, CA",6/4/2019,Second Set,15,Space,4,CA
9992,"Hollywood, CA",6/4/2019,Second Set,16,Standing on the Moon,4,CA
9992,"Hollywood, CA",6/4/2019,Second Set,17,US Blues,4,CA
9992,"Hollywood, CA",6/4/2019,Encore,18,Brokedown Palace,4,CA
9999,"George, WA",6/7/2019,First Set,1,Feel Like a Stranger,5,WA
9999,"George, WA",6/7/2019,First Set,2,Cumberland Blues,5,WA
9999,"George, WA",6/7/2019,First Set,3,Dire Wolf,5,WA
9999,"George, WA",6/7/2019,First Set,4,Loser,5,WA
9999,"George, WA",6/7/2019,First Set,5,Loose Lucy,5,WA
9999,"George, WA",6/7/2019,First Set,6,Must Have Been the Roses,5,WA
9999,"George, WA",6/7/2019,First Set,7,Music Never Stopped,5,WA
9999,"George, WA",6/7/2019,Second Set,8,Here Comes Sunshine,5,WA
9999,"George, WA",6/7/2019,Second Set,9,Dark Star,5,WA
9999,"George, WA",6/7/2019,Second Set,10,Scarlet Begonias,5,WA
9999,"George, WA",6/7/2019,Second Set,11,China Doll,5,WA
9999,"George, WA",6/7/2019,Second Set,12,Dark Star (Second Verse),5,WA
9999,"George, WA",6/7/2019,Second Set,13,Eyes of the World,5,WA
9999,"George, WA",6/7/2019,Second Set,14,Drums,5,WA
9999,"George, WA",6/7/2019,Second Set,15,Space,5,WA
9999,"George, WA",6/7/2019,Second Set,16,Black Peter,5,WA
9999,"George, WA",6/7/2019,Second Set,17,Casey Jones,5,WA
9999,"George, WA",6/7/2019,Encore,18,Ripple,5,WA
9999,"George, WA",6/8/2019,First Set,1,Bertha,6,WA
9999,"George, WA",6/8/2019,First Set,2,Me and My Uncle,6,WA
9999,"George, WA",6/8/2019,First Set,3,They Love Each Other,6,WA
9999,"George, WA",6/8/2019,First Set,4,I Need A Miracle,6,WA
9999,"George, WA",6/8/2019,First Set,5,Comes a Time,6,WA
9999,"George, WA",6/8/2019,First Set,6,Throwin Stones,6,WA
9999,"George, WA",6/8/2019,First Set,7,Terrapin Station,6,WA
9999,"George, WA",6/8/2019,Second Set,8,Playin in the Band,6,WA
9999,"George, WA",6/8/2019,Second Set,9,Uncle John's Band,6,WA
9999,"George, WA",6/8/2019,Second Set,10,Playing Reprise,6,WA
9999,"George, WA",6/8/2019,Second Set,11,Deal,6,WA
9999,"George, WA",6/8/2019,Second Set,12,Viola Lee Blues,6,WA
9999,"George, WA",6/8/2019,Second Set,13,Drums,6,WA
9999,"George, WA",6/8/2019,Second Set,14,Space,6,WA
9999,"George, WA",6/8/2019,Second Set,15,The Wheel,6,WA
