FID_1,Location,Date,Set Type,Song Order,Song,Show_num,STATE_ABBR
9991,"Mansfield, MA",5/30/2018,First Set,1,Shakedown Street,1,MA
9991,"Mansfield, MA",5/30/2018,First Set,2,Alabama Getaway,1,MA
9991,"Mansfield, MA",5/30/2018,First Set,3,It's All Over Now,1,MA
9991,"Mansfield, MA",5/30/2018,First Set,4,Brown Eyed Women,1,MA
9991,"Mansfield, MA",5/30/2018,First Set,5,Tennessee Jed,1,MA
9991,"Mansfield, MA",5/30/2018,First Set,6,Bird Song,1,MA
9991,"Mansfield, MA",5/30/2018,First Set,7,Loose Lucy,1,MA
9991,"Mansfield, MA",5/30/2018,First Set,8,Bird Song Reprise,1,MA
9991,"Mansfield, MA",5/30/2018,Second Set,9,Scarlet Begonias,1,MA
9991,"Mansfield, MA",5/30/2018,Second Set,10,Fire on the Mountain,1,MA
9991,"Mansfield, MA",5/30/2018,Second Set,11,Althea,1,MA
9991,"Mansfield, MA",5/30/2018,Second Set,12,Estimated Prophet,1,MA
9991,"Mansfield, MA",5/30/2018,Second Set,13,Eyes of the World,1,MA
9991,"Mansfield, MA",5/30/2018,Second Set,14,Drums,1,MA
9991,"Mansfield, MA",5/30/2018,Second Set,15,Space,1,MA
9991,"Mansfield, MA",5/30/2018,Second Set,16,Stella Blue,1,MA
9991,"Mansfield, MA",5/30/2018,Second Set,17,Touch of Grey,1,MA
3405,"Camden, NJ",6/1/2018,First Set,1,Jack Straw,2,NJ
3405,"Camden, NJ",6/1/2018,First Set,2,Cold Rain and Snow,2,NJ
3405,"Camden, NJ",6/1/2018,First Set,3,Deep Elem Blues,2,NJ
3405,"Camden, NJ",6/1/2018,First Set,4,Jack-A-Roe,2,NJ
3405,"Camden, NJ",6/1/2018,First Set,5,Loser,2,NJ
3405,"Camden, NJ",6/1/2018,First Set,6,Bertha,2,NJ
3405,"Camden, NJ",6/1/2018,First Set,7,Cassidy,2,NJ
3405,"Camden, NJ",6/1/2018,First Set,8,Jack Straw,2,NJ
3405,"Camden, NJ",6/1/2018,Second Set,9,Not Fade Away,2,NJ
3405,"Camden, NJ",6/1/2018,Second Set,10,Dark Star,2,NJ
3405,"Camden, NJ",6/1/2018,Second Set,11,St. Stephen,2,NJ
3405,"Camden, NJ",6/1/2018,Second Set,12,Black Muddy River,2,NJ
3405,"Camden, NJ",6/1/2018,Second Set,13,Drums,2,NJ
3405,"Camden, NJ",6/1/2018,Second Set,14,Space,2,NJ
3405,"Camden, NJ",6/1/2018,Second Set,15,The Wheel,2,NJ
3405,"Camden, NJ",6/1/2018,Second Set,16,Wharf Rat,2,NJ
3405,"Camden, NJ",6/1/2018,Second Set,17,Not Fade Away,2,NJ
3405,"Camden, NJ",6/1/2018,Encore,18,Ripple,2,NJ
3405,"Camden, NJ",6/2/2018,First Set,1,Hell in a Bucket,3,NJ
3405,"Camden, NJ",6/2/2018,First Set,2,It Hurts Me Too,3,NJ
3405,"Camden, NJ",6/2/2018,First Set,3,Cumberland Blues,3,NJ
3405,"Camden, NJ",6/2/2018,First Set,4,Ship of Fools,3,NJ
3405,"Camden, NJ",6/2/2018,First Set,5,Ramble On Rose,3,NJ
3405,"Camden, NJ",6/2/2018,First Set,6,The Weight,3,NJ
3405,"Camden, NJ",6/2/2018,First Set,7,Music Never Stopped,3,NJ
3405,"Camden, NJ",6/2/2018,First Set,8,Easy Answers,3,NJ
3405,"Camden, NJ",6/2/2018,Second Set,9,Playin in the Band,3,NJ
3405,"Camden, NJ",6/2/2018,Second Set,10,Uncle John's Band,3,NJ
3405,"Camden, NJ",6/2/2018,Second Set,11,Other One,3,NJ
2382,"Cincinnati, OH",6/4/2018,First Set,1,Truckin,4,OH
2382,"Cincinnati, OH",6/4/2018,First Set,2,Big River,4,OH
2382,"Cincinnati, OH",6/4/2018,First Set,3,They Love Each Other,4,OH
2382,"Cincinnati, OH",6/4/2018,First Set,4,Friend of the Devil,4,OH
2382,"Cincinnati, OH",6/4/2018,First Set,5,If I Had the World to Give,4,OH
2382,"Cincinnati, OH",6/4/2018,First Set,6,Sugaree,4,OH
2382,"Cincinnati, OH",6/4/2018,First Set,7,New Speedway Boogie,4,OH
2382,"Cincinnati, OH",6/4/2018,Second Set,8,Deal,4,OH
2382,"Cincinnati, OH",6/4/2018,Second Set,9,He's Gone,4,OH
2382,"Cincinnati, OH",6/4/2018,Second Set,10,China Cat Sunflower,4,OH
2382,"Cincinnati, OH",6/4/2018,Second Set,11,I Know You Rider,4,OH
2382,"Cincinnati, OH",6/4/2018,Second Set,12,Drums,4,OH
2382,"Cincinnati, OH",6/4/2018,Second Set,13,Space,4,OH
2382,"Cincinnati, OH",6/4/2018,Second Set,14,Hard Rain's Gonna Fall,4,OH
2382,"Cincinnati, OH",6/4/2018,Second Set,15,GDTRFB,4,OH
2382,"Cincinnati, OH",6/4/2018,Second Set,16,US Blues,4,OH
2382,"Cincinnati, OH",6/4/2018,Encore,17,Knocking on Heaven's Door,4,OH
301,"Noblesville, IN",6/6/2018,First Set,1,Other One,5,IN
301,"Noblesville, IN",6/6/2018,First Set,2,Dire Wolf,5,IN
301,"Noblesville, IN",6/6/2018,First Set,3,Feel Like a Stranger,5,IN
301,"Noblesville, IN",6/6/2018,First Set,4,Row Jimmy,5,IN
301,"Noblesville, IN",6/6/2018,First Set,5,Mississippi Half Step,5,IN
301,"Noblesville, IN",6/6/2018,First Set,6,Comes a Time,5,IN
301,"Noblesville, IN",6/6/2018,First Set,7,Viola Lee Blues,5,IN
301,"Noblesville, IN",6/6/2018,Second Set,8,Help on the Way,5,IN
301,"Noblesville, IN",6/6/2018,Second Set,9,Slipknot,5,IN
301,"Noblesville, IN",6/6/2018,Second Set,10,Franklin's Tower,5,IN
301,"Noblesville, IN",6/6/2018,Second Set,11,Terrapin Station,5,IN
301,"Noblesville, IN",6/6/2018,Second Set,12,Drums,5,IN
301,"Noblesville, IN",6/6/2018,Second Set,13,Space,5,IN
301,"Noblesville, IN",6/6/2018,Second Set,14,Other One V2,5,IN
301,"Noblesville, IN",6/6/2018,Second Set,15,Standing on the Moon,5,IN
301,"Noblesville, IN",6/6/2018,Second Set,16,Sugar Magnolia,5,IN
301,"Noblesville, IN",6/6/2018,Second Set,17,Sunshine Daydream,5,IN
301,"Noblesville, IN",6/6/2018,Encore,18,Casey Jones,5,IN
1879,"Atlanta, GA",6/8/2018,First Set,1,Iko Iko,6,GA
1879,"Atlanta, GA",6/8/2018,First Set,2,I Need A Miracle,6,GA
1879,"Atlanta, GA",6/8/2018,First Set,3,Alabama Getaway,6,GA
1879,"Atlanta, GA",6/8/2018,First Set,4,Black Throated Wind,6,GA
